


            NET PURCHASES OF U.S. EQUITIES BY MAJOR FOREIGN SECTOR:
              FOREIGN OFFICIAL INSTITUTIONS, OTHER FOREIGNERS, AND
                     INTERNATIONAL & REGIONAL ORGANIZATIONS
                                        
                            (IN MILLIONS OF DOLLARS)


      (NEGATIVE FIGURES INDICATE NET SALES BY FOREIGNERS TO U.S. RESIDENTS
              OR A NET OUTFLOW OF CAPITAL FROM THE UNITED STATES)

                    TOTAL                                    INTERNATIONAL
                     NET          FOREIGN                         AND
                   FOREIGN        OFFICIAL       OTHER         REGIONAL
     2010-10            16,198          -960        17,159               -1
     2010-09            20,640          -759        21,403               -4
     2010-08             4,926           387         4,535                4
     2010-07            12,704           346        12,362               -4
     2010-06            -4,226           430        -4,648               -8
     2010-05                -4          -956           952                0
     2010-04             9,777           667         9,112               -2
     2010-03            12,088           326        11,762                0
     2010-02            12,966           354        12,610                2
     2010-01             4,612        -1,186         5,802               -4
     2009-12            19,984         1,306        18,676                2
     2009-11             9,723           -31         9,752                2
     2009-10            10,298           552         9,743                3
     2009-09            15,672           229        15,442                1
     2009-08            12,256           179        12,079               -2
     2009-07            29,792         4,578        25,214                0
     2009-06            19,880         2,191        17,688                1
     2009-05            17,883           -72        17,953                2
     2009-04             3,913           922         2,993               -2
     2009-03            14,759           729        14,029                1
     2009-02            -4,204           134        -4,334               -4
     2009-01             2,778           962         1,817               -1
     2008-12             4,096         2,635         1,462               -1
     2008-11             4,955         1,633         3,323               -1
     2008-10            -2,936          -135        -2,802                1
     2008-09            11,512            48        11,466               -2
     2008-08              -982        -1,415           428                5
     2008-07            -5,778         1,069        -6,852                5
     2008-06            -1,782           527        -2,312                3
     2008-05            15,980            36        15,940                4
     2008-04           -11,569           436       -12,005                0
     2008-03            11,376           413        10,965               -2
     2008-02             2,052         4,772        -2,729                9
     2008-01            17,872        13,343         4,521                8
     2007-12            33,460        12,502        20,955                3
     2007-11             4,750           482         4,267                1
     2007-10            30,264           354        29,909                1
     2007-09             2,607            84         2,524               -1
     2007-08           -40,617        -1,612       -39,011                6
     2007-07            21,192         2,815        18,412              -35
     2007-06            29,873         1,655        28,218                0
     2007-05            42,044          -673        42,722               -5
     2007-04            27,606          -653        28,258                1
     2007-03             9,485           415         9,066                4
     2007-02            12,484           317        12,170               -3
     2007-01            22,373          -579        22,964              -12
     2006-12           -11,551          -499       -11,056                4
     2006-11             7,103        -2,098         9,201                0
     2006-10            27,103          -407        27,511               -1
     2006-09            14,702          -682        15,381                3
     2006-08             8,084           207         7,875                2
     2006-07            14,295         1,624        12,669                2
     2006-06            -1,626         1,178        -2,804                0
     2006-05            14,017         1,170        12,845                2
     2006-04            12,384         3,397         8,984                3
     2006-03            22,849         1,628        21,202               19
     2006-02            17,826          -674        18,494                6
     2006-01            25,229           922        24,303                4
     2005-12            10,333            13        10,296               24
     2005-11             5,723            96         5,642              -15
     2005-10             8,383           228         8,142               13
     2005-09            23,033         1,005        22,019                9
     2005-08             1,902           341         1,586              -25
     2005-07             7,718           -57         7,717               58
     2005-06             3,695           538         3,175              -18
     2005-05               381           -48           450              -21
     2005-04             4,135          -725         4,831               29
     2005-03             2,747            51         2,824             -128
     2005-02             1,290            54         1,212               24
     2005-01            12,610          -542        13,145                7
     2004-12             7,939           627         7,316               -4
     2004-11            13,742         1,528        12,299              -85
     2004-10             2,903          -743         3,619               27
     2004-09            -3,346           -13        -3,213             -120
     2004-08            -2,309           112        -2,413               -8
     2004-07             7,421           108         7,312                1
     2004-06             3,738          -453         4,146               45
     2004-05            -5,503           172        -5,635              -40
     2004-04               476         1,094          -650               32
     2004-03            -9,752           330       -10,008              -74
     2004-02             2,091           178         1,882               31
     2004-01            11,076          -701        11,722               55
     2003-12            12,993           -97        13,072               18
     2003-11             8,782          -139         8,914                7
     2003-10            -1,351          -222        -1,117              -12
     2003-09            -6,189           -89        -6,104                4
     2003-08            11,745           174        11,566                5
     2003-07            -9,536            -9        -9,537               10
     2003-06             9,297            93         9,221              -17
     2003-05             6,650           -54         6,708               -4
     2003-04             4,466           -19         4,488               -3
     2003-03             2,809            29         2,800              -20
     2003-02            -2,077             4        -2,083                2
     2003-01            -2,852            19        -2,848              -23
     2002-12             3,185             0         3,180                5
     2002-11             6,476           -40         6,509                7
     2002-10             3,619           -18         3,631                6
     2002-09            -6,463          -159        -6,289              -15
     2002-08             4,612           -75         4,676               11
     2002-07             9,657            70         9,514               73
     2002-06             4,019            42         3,961               16
     2002-05              -315          -150          -143              -22
     2002-04             7,744          -378         8,129               -7
     2002-03             6,872          -676         7,563              -15
     2002-02             2,190          -751         2,943               -2
     2002-01             8,593           150         8,564             -121
     2001-12            13,284           -96        13,361               19
     2001-11            13,172            79        13,084                9
     2001-10             7,261           192         7,046               23
     2001-09           -11,532           308       -11,829              -11
     2001-08             7,703           761         6,943               -1
     2001-07            11,475           289        11,171               15
     2001-06            10,438           162        10,255               21
     2001-05            17,321           143        17,163               15
     2001-04             6,627           156         6,493              -22
     2001-03             7,428            99         7,203              126
     2001-02             9,435            -2         9,466              -29
     2001-01            23,778           -87        23,827               38
     2000-12            11,127            54        11,091              -18
     2000-11             9,054            33         9,035              -14
     2000-10            16,336           210        16,128               -2
     2000-09             8,559          -336         8,937              -42
     2000-08            24,273          -168        24,417               24
     2000-07            15,573           394        15,169               10
     2000-06            17,793           -22        17,845              -30
     2000-05             6,313           274         6,018               21
     2000-04             3,304           161         3,082               61
     2000-03            24,232           194        24,220             -182
     2000-02            27,745           186        27,440              119
     2000-01            10,581           128        10,411               42
     1999-12             8,954            82         8,901              -29
     1999-11            18,418           188        18,205               25
     1999-10             7,770           -84         7,880              -26
     1999-09             3,285        -1,537         4,819                3
     1999-08            12,162            20        12,159              -17
     1999-07             8,319           112         8,252              -45
     1999-06            11,906           126        11,766               14
     1999-05             8,517            72         8,456              -11
     1999-04            17,592           -37        17,613               16
     1999-03             2,962           472         2,490                0
     1999-02             4,138          -592         4,730                0
     1999-01             3,499           535         2,950               14
     1998-12             4,557           -43         4,598                2
     1998-11             7,099        -1,193         8,309              -17
     1998-10             2,756           456         2,297                3
     1998-09           -10,477          -357       -10,077              -43
     1998-08               -60          -206           145                1
     1998-07             2,517        -1,323         4,054             -214
     1998-06             1,846        -1,368         3,239              -25
     1998-05             8,205           218         8,007              -20
     1998-04             3,549         1,180         2,390              -21
     1998-03            13,415           -25        13,444               -4
     1998-02             9,487            65         9,412               10
     1998-01             7,126        -1,093         8,271              -52
     1997-12             5,530           499         5,065              -34
     1997-11             5,472           425         5,055               -8
     1997-10              -252             8          -267                7
     1997-09             8,760          -146         8,886               20
     1997-08             7,552           376         7,266              -90
     1997-07            11,009          -107        11,247             -131
     1997-06             9,703           989         8,749              -35
     1997-05             6,346           101         6,188               57
     1997-04             6,740          -213         6,893               60
     1997-03             1,498        -2,041         3,525               14
     1997-02             4,372        -1,542         5,906                8
     1997-01             2,867           -76         2,968              -25
     1996-12               591           105           515              -29
     1996-11             2,371         1,259         1,115               -3
     1996-10               794           675           125               -6
     1996-09               -97          -113            42              -26
     1996-08             1,949        -1,114         3,049               14
     1996-07            -3,746        -1,263        -2,482               -1
     1996-06             1,298           103         1,195                0
     1996-05             1,416           215         1,196                5
     1996-04             3,898           136         3,618              144
     1996-03               762           125           683              -46
     1996-02             1,465            42         1,552             -129
     1996-01             1,810          -369         2,176                3
     1995-12             2,107            13         2,096               -2
     1995-11             2,932          -249         3,192              -11
     1995-10            -1,368          -100        -1,228              -40
     1995-09               232          -136           431              -63
     1995-08             2,542           -91         2,656              -23
     1995-07             2,435           116         2,327               -8
     1995-06             2,226         1,594           640               -8
     1995-05             2,682         1,778           914              -10
     1995-04               868            34           835               -1
     1995-03            -2,320           188        -2,478              -30
     1995-02              -219            -8          -166              -45
     1995-01              -877           -93          -820               36
     1994-12            -1,633            30        -1,665                2
     1994-11             1,043           -55         1,075               23
     1994-10            -2,041          -187        -1,886               32
     1994-09            -1,644          -418        -1,240               14
     1994-08             2,814          -113         2,929               -2
     1994-07              -830          -113          -721                4
     1994-06            -2,245          -548        -1,688               -9
     1994-05             1,329           -13         1,325               17
     1994-04            -1,814          -293        -1,519               -2
     1994-03               165          -434           601               -2
     1994-02             3,469          -102         3,638              -67
     1994-01             3,264          -209         3,473                0
     1993-12             4,473            15         4,434               24
     1993-11             3,169           -67         3,166               70
     1993-10             4,557            62         4,583              -88
     1993-09               872            45           909              -82
     1993-08             2,440           -69         2,482               27
     1993-07              -605           -52          -600               47
     1993-06               843           463           352               28
     1993-05               786           471           319               -4
     1993-04              -331           -90          -249                8
     1993-03             2,446           206         2,083              157
     1993-02             2,771         1,025         1,656               90
     1993-01               157           -51           213               -5
     1992-12             2,350           -87         2,413               24
     1992-11             1,282           -56         1,335                3
     1992-10               649           234           418               -3
     1992-09            -3,154          -762        -2,301              -91
     1992-08            -1,653          -298        -1,310              -45
     1992-07              -217          -181           -53               17
     1992-06            -1,012           -39        -1,131              158
     1992-05                71            -7            43               35
     1992-04              -502          -170          -365               33
     1992-03              -558            81          -661               22
     1992-02               220            55           166               -1
     1992-01            -2,612          -240        -2,253             -119
     1991-12            -2,726          -178        -2,531              -17
     1991-11               999           406           556               37
     1991-10               434           -31           420               45
     1991-09              -744          -360          -494              110
     1991-08             1,794           133         1,525              136
     1991-07             1,092           112           957               23
     1991-06             1,124          -140         1,221               44
     1991-05             3,339           130         3,154               55
     1991-04             3,158            23         3,057               78
     1991-03             2,329           416         1,912                1
     1991-02             1,093           705           332               56
     1991-01              -801          -268          -535                2
     1990-12            -1,257          -173        -1,094                9
     1990-11              -816          -418          -393               -5
     1990-10            -3,803          -304        -3,457              -42
     1990-09            -2,513          -206        -2,252              -55
     1990-08            -1,313            63        -1,413               37
     1990-07             1,403           -31         1,383               52
     1990-06              -324           -23          -265              -37
     1990-05            -2,433          -333        -2,157               57
     1990-04              -865           127        -1,030               38
     1990-03            -2,590          -238        -2,398               46
     1990-02              -211            78          -290                1
     1990-01              -404            21          -394              -30
     1989-12            -1,280           -21        -1,211              -48
     1989-11            -1,118           186        -1,303               -1
     1989-10             1,371            83         1,265               23
     1989-09             2,926            53         2,924              -52
     1989-08             1,169           308           846               15
     1989-07             1,783           293         1,505              -16
     1989-06             3,759           929         2,849              -18
     1989-05             1,060            90           971               -2
     1989-04              -139          -198            65               -6
     1989-03               393           186           339             -132
     1989-02               -50           203          -289               36
     1989-01                70           -81           184              -33
     1988-12            -1,247           -12        -1,190              -45
     1988-11               108            98           -13               23
     1988-10            -1,620          -850          -658             -112
     1988-09              -591          -212          -352              -28
     1988-08               661            -9           647               23
     1988-07               825          -199           992               31
     1988-06               332          -439           730               42
     1988-05            -1,077            63        -1,048              -92
     1988-04             1,389           -34         1,406               16
     1988-03              -427          -668           210               30
     1988-02              -378          -175          -170              -33
     1988-01                26            41            16              -32
     1987-12            -3,004          -344        -2,599              -61
     1987-11            -6,698            48        -6,699              -48
     1987-10             2,460           487         1,958               15
     1987-09             3,074           205         2,779               90
     1987-08               228           -23           148              102
     1987-07             1,762          -562         2,309               14
     1987-06             1,631            -3         1,680              -45
     1987-05             3,677           -96         3,809              -36
     1987-04             3,337            48         3,227               62
     1987-03             5,054          -196         5,213               37
     1987-02             3,085          -190         3,375             -100
     1987-01             1,665            61         1,685              -80
     1986-12             1,780           221         1,479               80
     1986-11               -53          -112            93              -34
     1986-10            -1,322           -31        -1,147             -143
     1986-09             1,250            42         1,253              -45
     1986-08             1,453            33         1,460              -40
     1986-07             2,015           161         1,918              -65
     1986-06               344          -199           663             -121
     1986-05             2,857            55         2,760               42
     1986-04             3,947           297         3,587               63
     1986-03             2,890            97         2,745               47
     1986-02             1,780             5         1,755               20
     1986-01             1,780           164         1,629              -12
     1985-12             2,155           173         1,817              165
     1985-11             1,271          -151         1,512              -89
     1985-10               665            27           610               28
     1985-09               112            18           145              -51
     1985-08               650           -13           662                1
     1985-07               648            36           512              100
     1985-06               420           115           306               -1
     1985-05                98            73            69              -44
     1985-04               135           -86           213                8
     1985-03              -428            52          -437              -44
     1985-02               -61          -104            46               -4
     1985-01              -723           -21          -717               14
     1984-12              -558          -185          -275              -97
     1984-11                63            14            37               12
     1984-10              -747          -281          -489               23
     1984-09              -850          -245          -675               70
     1984-08              -111          -244           -12              145
     1984-07              -622           -46          -585                9
     1984-06              -359          -209          -158                8
     1984-05              -535          -200          -341                6
     1984-04               308           -59           367                1
     1984-03               419          -190           578               32
     1984-02               406           -56           532              -70
     1984-01              -395          -373           -11              -11
     1983-12               271           -11           289               -7
     1983-11                58            49             9                0
     1983-10               150            22           123                4
     1983-09               397          -162           551                8
     1983-08                31          -125           157               -1
     1983-07               535           -86           612                9
     1983-06               395            26           394              -25
     1983-05               265          -191           453                2
     1983-04               590          -321           860               52
     1983-03               922           -99           994               26
     1983-02               976           -26           982               21
     1983-01               809           -63           862               10
     1982-12               925          -150         1,049               25
     1982-11               341             7           324               11
     1982-10               257          -111           358               10
     1982-09               -96           128          -228                3
     1982-08               543           117           424                2
     1982-07                13          -129           136                6
     1982-06               299            37           258                4
     1982-05               436            99           331                6
     1982-04               252            71           175                6
     1982-03               132            88            35                8
     1982-02               536           130           407               -0
     1982-01               264            47           214                3
     1981-12               200            -9           209                1
     1981-11               197            62           145              -10
     1981-10                47           157          -104               -6
     1981-09               537           484            58               -5
     1981-08               -54           -47            -1               -6
     1981-07               199            95            96                9
     1981-06             1,063            30         1,029                4
     1981-05             1,239           206         1,023               10
     1981-04               724            81           635                8
     1981-03               646          -108           746                8
     1981-02               410            54           353                3
     1981-01               621            26           583               12
     1980-12               645           167           456               22
     1980-11               892          -105           994                2
     1980-10               522            87           441               -6
     1980-09               254           410          -151               -5
     1980-08               207           171            38               -2
     1980-07               309           137           169                2
     1980-06               159            17           144               -2
     1980-05                17           -67            82                2
     1980-04               258           110           145                3
     1980-03               363           111           250                2
     1980-02             1,113            37         1,079               -2
     1980-01               688            20           666                1
     1979-12               173            34           135                4
     1979-11               189           132            59               -3
     1979-10                30            17            13               -0
     1979-09                60            44            22               -7
     1979-08               159            31           126                2
     1979-07                14             6             8                1
     1979-06                85            21            64               -0
     1979-05               179            20           159                0
     1979-04                94            44            49                1
     1979-03               509           243           263                3
     1979-02               129            51            61               16
     1979-01                59           -22            82               -1
     1978-12               336            -4           340               -0
     1978-11               103           102             1                1
     1978-10                -2            42           -45                1
     1978-09               242           113           132               -3
     1978-08              -235          -133          -102                0
     1978-07                 9            53           -44                0
     1978-06               156            56           121              -21
     1978-05               429            80           347                1
     1978-04               713            96           625               -7
     1978-03               492           170           341              -19
     1978-02                64            49            14                1
     1978-01               115           111             5               -1



