


     NET PURCHASES OF U.S.LONG-TERM U.S. AGENCY BONDS BY MAJOR FOREIGN SECTOR:
              FOREIGN OFFICIAL INSTITUTIONS, OTHER FOREIGNERS, AND
                     INTERNATIONAL & REGIONAL ORGANIZATIONS
                                        
                            (IN MILLIONS OF DOLLARS)


      (NEGATIVE FIGURES INDICATE NET SALES BY FOREIGNERS TO U.S. RESIDENTS
              OR A NET OUTFLOW OF CAPITAL FROM THE UNITED STATES)

                    TOTAL                                    INTERNATIONAL
                     NET          FOREIGN                         AND
                   FOREIGN        OFFICIAL       OTHER         REGIONAL
     2010-09           -23,561       -31,336         7,563              212
     2010-08             5,059        -8,223        13,137              145
     2010-07            24,523        -4,163        28,734              -48
     2010-06            19,493         4,857        14,691              -55
     2010-05            26,280         3,341        23,104             -165
     2010-04            12,446         2,788         9,799             -141
     2010-03            20,569         2,564        18,058              -53
     2010-02             2,586        -2,366         5,853             -901
     2010-01            -5,101        -3,825        -1,069             -207
     2009-12                51        -2,961         3,093              -81
     2009-11             5,908         2,433         3,617             -142
     2009-10            -5,358        -1,478        -3,945               65
     2009-09            -1,627        -8,312         7,010             -325
     2009-08             4,593        -1,609         6,320             -118
     2009-07            -4,437        -7,183         2,607              139
     2009-06             7,877        -5,816        14,276             -583
     2009-05            13,141          -600        13,910             -169
     2009-04            -2,372        -3,502         1,281             -151
     2009-03           -15,666        -2,733       -12,851              -82
     2009-02             2,035        -3,229         5,241               23
     2009-01           -15,636        -7,916        -7,521             -199
     2008-12           -37,311       -12,863       -24,151             -297
     2008-11           -22,232       -11,674       -10,436             -122
     2008-10           -49,862       -16,468       -33,347              -47
     2008-09             4,497        -8,677        13,507             -333
     2008-08           -24,189       -13,146       -11,245              202
     2008-07           -42,066       -16,160       -25,848              -58
     2008-06            29,358         9,142        20,167               49
     2008-05            25,529        11,036        14,613             -120
     2008-04            12,190        11,012         1,163               15
     2008-03            16,134        15,937           173               24
     2008-02            33,566         1,203        32,355                8
     2008-01            15,722          -630        16,676             -324
     2007-12            -7,259         4,080       -11,334               -5
     2007-11            23,473         6,007        17,132              334
     2007-10            14,878        10,048         4,895              -65
     2007-09            11,482         9,194         2,254               34
     2007-08             8,355         4,063         4,289                3
     2007-07             8,667         7,468         1,223              -24
     2007-06            39,594        15,993        23,483              118
     2007-05            27,044        12,793        14,287              -36
     2007-04            36,121        13,691        22,464              -34
     2007-03            15,148        16,108        -1,080              120
     2007-02             5,223         4,545           714              -36
     2007-01            36,253        15,067        21,216              -30
     2006-12            27,806        15,506        12,337              -37
     2006-11            15,726         3,955        11,796              -25
     2006-10            13,768         5,260         8,453               55
     2006-09            25,452         7,872        17,577                3
     2006-08            33,185         9,599        23,720             -134
     2006-07            18,816        13,108         5,799              -91
     2006-06            23,006         6,286        16,573              147
     2006-05            35,977         9,160        26,746               71
     2006-04            18,005         5,932        12,042               31
     2006-03            15,509         4,205        11,272               32
     2006-02            30,060         2,815        27,119              126
     2006-01            29,154         8,934        20,162               58
     2005-12            11,218         2,804         8,329               85
     2005-11            11,106         3,217         7,872               17
     2005-10            32,799         3,203        29,581               15
     2005-09            19,197         1,676        17,463               58
     2005-08            15,776          -411        16,194               -7
     2005-07            34,688         4,165        30,626             -103
     2005-06            18,643         3,052        15,589                2
     2005-05            21,444         3,898        17,519               27
     2005-04             6,970        -1,536         8,493               13
     2005-03             7,504         1,316         6,202              -14
     2005-02            14,516         3,932        10,381              203
     2005-01            25,395         6,313        19,105              -23
     2004-12            26,607         1,025        24,927              655
     2004-11            27,798         3,487        24,832             -521
     2004-10            21,938          -928        22,720              146
     2004-09             8,426         2,446         5,801              179
     2004-08            17,491         2,568        14,878               45
     2004-07            19,272         2,511        16,830              -69
     2004-06            13,825          -923        14,609              139
     2004-05            19,214        -1,811        21,117              -92
     2004-04            26,097         1,760        24,307               30
     2004-03              -624         2,786        -3,624              214
     2004-02            20,341         4,227        16,101               13
     2004-01            26,016         3,602        22,274              140
     2003-12            15,067         4,442        11,050             -425
     2003-11             9,245         1,873         7,253              119
     2003-10            11,322         2,803         8,054              465
     2003-09              -128         2,039        -1,635             -532
     2003-08             8,677           809         7,877               -9
     2003-07            12,234            33        11,871              330
     2003-06             7,919           956         7,466             -503
     2003-05            25,694           656        25,247             -209
     2003-04            17,961         2,059        15,469              433
     2003-03            14,709           881        14,101             -273
     2003-02             9,380         4,849         4,719             -188
     2003-01            23,720         4,521        19,393             -194
     2002-12            15,802         3,511        12,162              129
     2002-11            18,392           646        17,709               37
     2002-10            22,195         1,031        21,051              113
     2002-09            21,057         3,380        17,771              -94
     2002-08            17,414         4,204        13,270              -60
     2002-07            11,816         3,293         8,819             -296
     2002-06            12,064         3,653         8,264              147
     2002-05            18,367         1,864        16,699             -196
     2002-04            24,423         1,051        23,362               10
     2002-03            19,560         3,744        15,946             -130
     2002-02             6,348         1,204         4,877              267
     2002-01             7,707           969         6,922             -184
     2001-12             8,629         2,216         6,373               40
     2001-11            14,073         3,348        10,479              246
     2001-10            27,277         2,066        25,390             -179
     2001-09             7,828         2,177         5,604               47
     2001-08            12,036        -1,339        13,248              127
     2001-07            12,476        -1,054        13,662             -132
     2001-06            16,906          -734        17,722              -82
     2001-05             6,950         1,450         5,501               -1
     2001-04            15,470         5,716         9,758               -4
     2001-03            19,544         1,187        18,352                5
     2001-02             9,527           278         9,246                3
     2001-01            13,274         2,109        11,246              -81
     2000-12             9,930           478         9,456               -4
     2000-11            18,343         2,598        15,893             -148
     2000-10            18,186         5,120        13,101              -35
     2000-09            16,397         4,420        11,973                4
     2000-08            16,311         4,879        11,324              108
     2000-07            10,178         4,973         5,156               49
     2000-06             6,469         2,616         3,859               -6
     2000-05            13,871         3,845        10,010               16
     2000-04             9,017         3,873         5,166              -22
     2000-03            14,744         3,643        11,095                6
     2000-02            13,732         2,714        11,027               -9
     2000-01             5,664         1,750         3,917               -3
     1999-12             5,055         2,606         2,448                1
     1999-11             7,996         1,274         6,849             -127
     1999-10             9,270         2,850         7,286             -866
     1999-09             9,892         1,836         7,863              193
     1999-08             5,520          -276         5,826              -30
     1999-07             7,503           275         7,188               40
     1999-06             5,028         1,304         3,704               20
     1999-05             6,562         2,156         4,338               68
     1999-04            11,263         2,332         8,878               53
     1999-03            11,814         4,130         7,935             -251
     1999-02             3,695           884         2,763               48
     1999-01             8,602           979         7,632               -9
     1998-12             7,519         1,894         5,595               30
     1998-11             9,655           196        10,436             -977
     1998-10            -5,647          -528        -5,097              -22
     1998-09              -108          -136           -16               44
     1998-08             3,617         2,097         1,482               38
     1998-07             2,255           -55         2,475             -165
     1998-06             6,792         1,590         5,151               51
     1998-05             3,134          -862         3,959               37
     1998-04             7,616          -474         8,038               52
     1998-03             9,843           135         9,597              111
     1998-02             8,136         1,194         6,901               41
     1998-01             3,990         1,281         2,686               23
     1997-12             2,837          -193         3,051              -21
     1997-11              -558          -189          -351              -18
     1997-10             7,875           483         7,391                1
     1997-09             1,772         1,122           652               -2
     1997-08             7,683           378         7,242               63
     1997-07             5,814         1,212         4,567               35
     1997-06             1,856           209         1,547              100
     1997-05             3,128           794         2,433              -99
     1997-04             6,187           -41         6,231               -3
     1997-03             3,727           191         3,534                2
     1997-02             5,320           205         5,107                8
     1997-01             4,212           358         3,856               -2
     1996-12             3,064           487         2,577                0
     1996-11             6,593         1,365         5,234               -6
     1996-10             3,918           331         3,604              -17
     1996-09             4,117           519         3,608              -10
     1996-08             4,499           118         4,396              -15
     1996-07             4,318           590         3,609              119
     1996-06             4,248           663         3,566               19
     1996-05             3,311           317         2,988                6
     1996-04             1,069           464           569               36
     1996-03               274          -184           431               27
     1996-02             3,679           454         3,289              -64
     1996-01             2,633          -116         2,725               24
     1995-12            -1,743           321        -2,092               28
     1995-11             3,990           266         3,740              -16
     1995-10             1,350           178         1,212              -40
     1995-09             5,085           261         4,809               15
     1995-08             4,444            89         4,301               54
     1995-07             2,717           168         2,643              -94
     1995-06             2,607           658         1,953               -4
     1995-05             1,684           345         1,421              -82
     1995-04             2,086           323         1,743               20
     1995-03             2,569           553         2,359             -343
     1995-02             1,943           611         1,392              -60
     1995-01             1,997           -38         1,831              204
     1994-12             2,040           138         1,559              343
     1994-11             2,986           437         2,553               -4
     1994-10               824           743            83               -2
     1994-09              -798           196          -949              -45
     1994-08             2,640         1,124         1,579              -63
     1994-07             2,081           902           794              385
     1994-06             3,009           703         2,243               63
     1994-05             3,365         1,486         1,826               53
     1994-04              -421           171          -570              -22
     1994-03               693          -130           776               47
     1994-02             1,626          -186         1,800               12
     1994-01             3,635           493         3,181              -39
     1993-12             6,036           200         5,804               32
     1993-11             5,200           340         4,860                0
     1993-10             3,638           390         3,116              132
     1993-09             5,513           800         4,040              673
     1993-08             2,447           316         2,123                8
     1993-07             1,808           229         1,625              -46
     1993-06             3,848           139         3,713               -4
     1993-05             3,440           316         3,146              -22
     1993-04             1,676           627         1,069              -20
     1993-03              -474           503          -938              -39
     1993-02             1,088           -33         1,242             -121
     1993-01             1,208           195         1,107              -94
     1992-12             1,296          -243           995              544
     1992-11             2,458           493         1,802              163
     1992-10             3,228           624         2,553               51
     1992-09               666           433           132              101
     1992-08               880           387           465               28
     1992-07              -100            92           -83             -109
     1992-06             2,083           171         1,826               86
     1992-05             1,932           574         1,433              -75
     1992-04             2,665           954         1,511              200
     1992-03             1,685           416         1,194               75
     1992-02               698          -112           827              -17
     1992-01               800           160           602               38
     1991-12             1,609           518           920              171
     1991-11             2,116           778         1,235              103
     1991-10                52          -221           324              -51
     1991-09             1,654           265         1,409              -20
     1991-08             1,584           133         1,509              -58
     1991-07             1,065            76         1,014              -25
     1991-06             1,158            60         1,165              -67
     1991-05               558           -60           667              -49
     1991-04              -375          -219           -83              -73
     1991-03             1,025           327           667               31
     1991-02              -889          -278          -536              -76
     1991-01               687           -78           585              181
     1990-12               939           331           605                2
     1990-11             1,288           -22         1,342              -33
     1990-10               922           399           540              -17
     1990-09              -934          -216          -726                7
     1990-08              -746           278          -991              -33
     1990-07             1,150            71         1,008               71
     1990-06               843            -6           822               28
     1990-05             1,015           301           795              -80
     1990-04              -385            53          -441                4
     1990-03               258            62            37              160
     1990-02             1,375          -344         1,695               24
     1990-01               540          -238         1,164             -386
     1989-12             1,635            71         1,519               45
     1989-11             1,768           271         1,493                5
     1989-10             2,852           227         2,573               52
     1989-09             1,143           129         1,009                5
     1989-08             1,506           204         1,326              -24
     1989-07               338          -143           501              -20
     1989-06               561          -188           622              128
     1989-05              -509          -672            41              122
     1989-04             1,764           763         1,028              -28
     1989-03               935           293           637                5
     1989-02             1,898           269         1,610               20
     1989-01             1,203           159         1,023               21
     1988-12             1,225           246           979                0
     1988-11               509            69           441                0
     1988-10               748           383           472             -107
     1988-09             1,071           498           508               65
     1988-08               228            44           238              -55
     1988-07               164            30           134                0
     1988-06             1,240           297           756              187
     1988-05             1,278           -82         1,329               31
     1988-04               133           -14           148               -1
     1988-03               598            -1           610              -11
     1988-02               -66           -36            90             -121
     1988-01              -388          -125           382             -645
     1987-12             1,068           224           450              394
     1987-11               184           -32           -42              258
     1987-10               614           470           145               -1
     1987-09               815           554           216               44
     1987-08                65            85           151             -171
     1987-07               561            74           488               -0
     1987-06               586            79           444               63
     1987-05               360           233           265             -137
     1987-04                80           -56           -17              153
     1987-03              -469          -144          -153             -172
     1987-02               959            21           721              216
     1987-01               224            61           213              -49
     1986-12               530           -81           702              -91
     1986-11             1,306           -49         1,068              288
     1986-10               287            14           513             -240
     1986-09               370           -22           763             -371
     1986-08               472           121           357               -6
     1986-07               644          -375           948               71
     1986-06             1,106           124           546              437
     1986-05               542          -355           800               97
     1986-04               402          -413           621              193
     1986-03               600           -13           327              286
     1986-02               761             3           610              148
     1986-01               -43          -166           223             -100
     1985-12               297          -229           850             -325
     1985-11               811          -124           596              339
     1985-10               862           182           834             -153
     1985-09               378           -99           801             -324
     1985-08               -11            86           191             -288
     1985-07               907            69           191              647
     1985-06               168           -36            71              134
     1985-05               435           328           248             -141
     1985-04               172          -157           308               20
     1985-03               -22           -61            84              -44
     1985-02               426          -160           509               77
     1985-01               -82          -100            20               -2
     1984-12               255          -189           469              -25
     1984-11               305           125           -33              213
     1984-10                19          -157           186               -9
     1984-09               158            29            96               33
     1984-08                48           -98           193              -47
     1984-07               262           155            67               40
     1984-06               144           -40           145               39
     1984-05               103            99            39              -34
     1984-04               -64            87          -119              -33
     1984-03              -151           -21           -74              -57
     1984-02               219           139            -7               87
     1984-01              -123          -116             8              -15
     1983-12                80            64            14                2
     1983-11               529           306           203               20
     1983-10                 8            57            48              -97
     1983-09              -201          -187             0              -14
     1983-08                43           -85            14              113
     1983-07               -49           -91            20               22
     1983-06               -66          -204           136                2
     1983-05               -20           -77            92              -34
     1983-04                94           112           -10               -8
     1983-03              -196          -142           -66               12
     1983-02               -90           -57           -21              -13
     1983-01              -146          -173            26                1
     1982-12              -253          -264             6                4
     1982-11              -222          -169           -58                5
     1982-10                46           -26            22               50
     1982-09               -60           -58            31              -32
     1982-08              -257           -81           -54             -122
     1982-07               -71           -53           -44               26
     1982-06               172           192            15              -35
     1982-05                92           -58           122               28
     1982-04               265           123            89               53
     1982-03               -33           -78            49               -4
     1982-02               -53          -182           144              -15
     1982-01                18           -41            45               14
     1981-12               -15            39           -35              -18
     1981-11              -206          -147           -60                2
     1981-10               -79          -122            60              -16
     1981-09               236           255           -27                9
     1981-08                46             4            42               -1
     1981-07               349           286            59                4
     1981-06                 2           -53            52                3
     1981-05                35            58            -5              -18
     1981-04               618           531            42               45
     1981-03                24             7            19               -1
     1981-02               144           116            41              -13
     1981-01               413           332            57               25
     1980-12               -36           -85            38               11
     1980-11               209           107           104               -2
     1980-10               550           565            28              -44
     1980-09               -17            48           -14              -51
     1980-08               174           104            43               27
     1980-07               482           396            42               44
     1980-06                43             1             7               35
     1980-05               -42           118            56             -216
     1980-04                44           130           -22              -65
     1980-03               443           403            59              -19
     1980-02               167            64            42               60
     1980-01               541           333            75              133
     1979-12                15            24             5              -14
     1979-11              -105           -18           -22              -64
     1979-10               190            35            16              139
     1979-09                90           -17            16               90
     1979-08                95           109            -9               -5
     1979-07               247           241             3                3
     1979-06               183           127            12               43
     1979-05              -189           -82            39             -146
     1979-04               193            49            27              118
     1979-03                52            20            19               13
     1979-02               -68            23            36             -127
     1979-01              -157           -49            10             -118
     1978-12               144           -71            17              199
     1978-11                36            14            12               10
     1978-10                80           -67            91               57
     1978-09                 7            -7            14                0
     1978-08               132            87             3               42
     1978-07               418           382            24               11
     1978-06               229           136            16               77
     1978-05                95            73            22                0
     1978-04                 2             7            -5               -0
     1978-03               -30           -11            -5              -13
     1978-02                95            38             6               50
     1978-01                66            89           -13              -11



