


     NET PURCHASES OF U.S. TREASURY BONDS & NOTES BY MAJOR FOREIGN SECTOR:
              FOREIGN OFFICIAL INSTITUTIONS, OTHER FOREIGNERS, AND
                     INTERNATIONAL & REGIONAL ORGANIZATIONS
                                        
                            (IN MILLIONS OF DOLLARS)


      (NEGATIVE FIGURES INDICATE NET SALES BY FOREIGNERS TO U.S. RESIDENTS
              OR A NET OUTFLOW OF CAPITAL FROM THE UNITED STATES)

                    TOTAL                                    INTERNATIONAL
                     NET          FOREIGN                         AND
                   FOREIGN        OFFICIAL       OTHER         REGIONAL
     2011-10            21,531        -5,972        24,813            2,690
     2011-09            94,369        38,425        57,152           -1,208
     2011-08            67,033        -9,679        77,039             -327
     2011-07            15,317        14,166           994              157
     2011-06             1,891        11,283       -10,033              641
     2011-05            48,718        21,628        27,223             -133
     2011-04            25,169        29,556        -8,475            4,088
     2011-03            29,325         7,448        20,339            1,538
     2011-02            32,732        15,705        16,439              588
     2011-01            48,810        18,206        31,218             -614
     2010-12            53,045        13,748        39,467             -170
     2010-11            60,673        16,641        44,843             -811
     2010-10            23,312          -693        24,119             -114
     2010-09            77,151        41,390        36,155             -394
     2010-08           118,012        30,599        87,283              130
     2010-07            30,158         8,224        22,083             -149
     2010-06            31,728        11,387        19,827              514
     2010-05            14,989         6,145         8,651              193
     2010-04            77,186        14,650        62,560              -24
     2010-03           107,648        28,288        78,466              894
     2010-02            48,202         1,128        47,080               -6
     2010-01            61,578           558        60,895              125
     2009-12            69,817        24,322        45,588              -93
     2009-11           117,875        31,184        86,633               58
     2009-10            38,910        15,043        23,745              122
     2009-09            44,685        18,966        25,120              599
     2009-08            28,057        13,183        15,506             -632
     2009-07            31,252        15,721        14,854              677
     2009-06           100,499        22,498        77,604              397
     2009-05           -22,576       -21,763          -368             -445
     2009-04            41,969        17,125        24,864              -20
     2009-03            55,241        29,026        26,675             -460
     2009-02            21,735        -1,959        23,786              -92
     2009-01            10,924        -1,940        12,899              -35
     2008-12            14,584         3,851        11,436             -703
     2008-11           -25,784       -26,204          -139              559
     2008-10            32,703        -1,486        34,709             -520
     2008-09            20,116         4,944        14,896              276
     2008-08            32,837         4,848        28,192             -203
     2008-07            34,012        10,068        24,312             -368
     2008-06            28,014         1,105        26,575              334
     2008-05             1,800        -3,724         5,577              -53
     2008-04            76,592        22,298        54,280               14
     2008-03            51,003        28,011        22,833              159
     2008-02            12,240        -3,594        15,725              109
     2008-01            36,763        36,101           709              -47
     2007-12               423        10,980       -10,832              275
     2007-11            19,825           378        19,638             -191
     2007-10            54,924         3,980        50,590              354
     2007-09            24,300        14,370         9,787              143
     2007-08            -4,517       -29,685        25,343             -175
     2007-07            -9,360        -6,925        -2,511               76
     2007-06            24,303         6,433        19,731           -1,861
     2007-05            22,658        -4,590        26,975              273
     2007-04               463         9,364        -8,949               48
     2007-03            31,101         1,377        29,512              212
     2007-02            17,699         2,172        15,578              -51
     2007-01            16,148        -4,860        21,159             -151
     2006-12            10,374         6,092         4,367              -85
     2006-11            33,361         1,016        31,730              615
     2006-10            25,357        18,463         7,062             -168
     2006-09             2,293         7,589        -5,285              -11
     2006-08            42,906        16,482        26,545             -121
     2006-07            10,882         9,713           798              371
     2006-06            28,744        -3,103        32,451             -604
     2006-05            15,353       -12,516        27,232              637
     2006-04            -3,508        12,426       -16,339              405
     2006-03             8,684        -7,031        16,059             -344
     2006-02            19,376        14,130         5,544             -298
     2006-01             1,714         6,378        -5,089              425
     2005-12            17,024         5,838        10,892              294
     2005-11            51,826         4,959        46,796               71
     2005-10            30,164         5,973        23,759              432
     2005-09            22,199        -1,116        23,423             -108
     2005-08            25,563         3,662        21,749              152
     2005-07            28,671         5,064        23,661              -54
     2005-06            19,673        17,597           832            1,244
     2005-05             1,623         7,925        -6,255              -47
     2005-04            29,709        13,174        15,778              757
     2005-03            34,163       -14,227        48,329               61
     2005-02            44,545        12,219        32,642             -316
     2005-01            32,952         7,621        24,865              466
     2004-12             8,354         6,976         1,552             -174
     2004-11            33,722        21,049        12,386              287
     2004-10            19,203        15,649         3,085              469
     2004-09            17,039        10,874         6,929             -764
     2004-08            13,395        15,515        -2,806              686
     2004-07            12,651         5,935         7,100             -384
     2004-06            45,347        16,335        28,722              290
     2004-05            28,642         7,866        20,781               -5
     2004-04            50,360        22,691        27,458              211
     2004-03            51,215        33,567        17,544              104
     2004-02            26,158        17,892         8,391             -125
     2004-01            45,993        26,791        19,078              124
     2003-12            27,889         8,660        19,214               15
     2003-11            35,552        18,968        16,513               71
     2003-10            10,502        23,593       -12,720             -371
     2003-09             6,746        10,659        -3,703             -210
     2003-08            16,751        -4,487        20,431              807
     2003-07            50,696        11,573        39,968             -845
     2003-06            39,551        15,925        23,496              130
     2003-05            41,785        13,422        27,939              424
     2003-04             8,665        -1,100         9,817              -52
     2003-03            26,881           -86        27,018              -51
     2003-02            -3,210         4,321        -7,287             -244
     2003-01             1,772         2,390        -1,001              383
     2002-12            13,479         6,252         6,898              329
     2002-11            21,063        12,328         8,815              -80
     2002-10             6,086            82         5,256              748
     2002-09            21,670        -3,737        25,395               12
     2002-08             4,347           635         3,297              415
     2002-07            24,358        -5,268        29,720              -94
     2002-06            14,323         2,161        12,039              123
     2002-05            10,527           -69        11,096             -500
     2002-04            -8,834        -1,605        -7,539              310
     2002-03            19,332         5,233        13,950              149
     2002-02             8,848        -2,177        10,696              329
     2002-01           -15,278        -6,686        -8,862              270
     2001-12             8,817         1,061         7,790              -34
     2001-11            12,362         6,266         6,322             -226
     2001-10            15,723         2,239        13,399               85
     2001-09            -1,134         2,549        -3,831              148
     2001-08             4,836           343         4,673             -180
     2001-07           -11,494          -741       -10,927              174
     2001-06            -3,445        -3,243             6             -208
     2001-05             3,076           913         1,918              245
     2001-04           -13,711        -9,055        -4,462             -194
     2001-03             4,897           249         4,650               -2
     2001-02             7,214           667         6,508               39
     2001-01            -8,627         2,226       -10,320             -533
     2000-12            -9,789         1,068       -10,972              115
     2000-11           -14,106        -4,967        -8,992             -147
     2000-10            -2,989        -7,150         3,976              185
     2000-09            -8,807        -6,626        -2,406              225
     2000-08              -113           449          -566                4
     2000-07            -6,061          -639        -5,107             -315
     2000-06           -17,932        -1,412       -16,185             -335
     2000-05            -7,018        -1,405        -5,415             -198
     2000-04            14,520         6,403         8,081               36
     2000-03           -16,871          -569       -16,523              221
     2000-02             5,563         1,777         3,993             -207
     2000-01             9,571         6,769         2,846              -44
     1999-12             4,642         4,962          -396               76
     1999-11            -3,615        -2,325        -1,477              187
     1999-10            -9,733        -1,248        -8,656              171
     1999-09                90        -1,714         1,713               91
     1999-08            19,118         2,394        16,453              271
     1999-07            -6,236        -1,773        -4,447              -16
     1999-06              -609           397        -1,212              206
     1999-05             5,638         3,223         2,093              322
     1999-04            -3,271        -6,696         3,439              -14
     1999-03             1,532        -4,845         6,607             -230
     1999-02           -14,623        -3,699       -10,483             -441
     1999-01            -2,886         1,463        -4,291              -58
     1998-12            10,549         5,274         4,152            1,123
     1998-11            25,456        11,843        13,713             -100
     1998-10            -2,193         9,001       -11,856              662
     1998-09            -5,270       -10,304         5,043               -9
     1998-08           -15,751       -16,920         1,169                0
     1998-07            -2,187           469        -2,709               53
     1998-06             1,557        -3,486         5,347             -304
     1998-05            21,495           898        20,446              151
     1998-04             4,861         1,162         4,390             -691
     1998-03            -4,452         6,133       -11,781            1,196
     1998-02             9,743         1,242         8,635             -134
     1998-01             5,231        -1,189         5,898              522
     1997-12            -9,398          -367        -7,421           -1,610
     1997-11            15,909         1,831        13,658              420
     1997-10            17,182       -12,542        29,941             -217
     1997-09            15,500         3,397        11,695              408
     1997-08            24,482         8,541        16,125             -184
     1997-07             2,995        -2,107         4,815              287
     1997-06            22,497         9,926        11,635              936
     1997-05             6,851         3,428         3,575             -152
     1997-04            25,655         6,955        18,245              455
     1997-03            20,082         7,154        13,228             -300
     1997-02            25,269        10,178        14,183              908
     1997-01            17,147         7,565        10,050             -468
     1996-12            44,272        13,903        29,226            1,143
     1996-11            17,203         3,078        15,317           -1,192
     1996-10            24,121         4,765        18,819              537
     1996-09            13,430        17,094        -3,507             -157
     1996-08            10,976         3,518         7,422               36
     1996-07            45,391         9,228        36,599             -436
     1996-06             8,570        -6,691        16,072             -811
     1996-05            14,099         6,479         7,382              238
     1996-04            11,386         8,304         4,457           -1,375
     1996-03            11,641         4,794         6,236              611
     1996-02            17,980         8,653        10,068             -741
     1996-01            13,172        12,682           185              305
     1995-12            -9,344         2,651       -11,557             -438
     1995-11            15,459          -909        15,997              371
     1995-10             4,667         5,705        -1,207              169
     1995-09           -11,058        -4,525        -6,463              -70
     1995-08            26,082          -364        26,806             -360
     1995-07            31,871        16,790        14,592              489
     1995-06            22,631        10,871        11,561              199
     1995-05            14,515        -1,707        16,275              -53
     1995-04             6,400         3,158         3,258              -16
     1995-03             9,211         4,022         5,085              104
     1995-02            14,103         2,110        11,275              718
     1995-01             9,578         1,829         8,423             -674
     1994-12            11,752           608        11,356             -212
     1994-11            13,115         2,760        10,305               50
     1994-10            10,227         2,847         6,545              835
     1994-09            11,942         4,671         7,359              -88
     1994-08            16,031         9,756         5,822              453
     1994-07             1,009         5,063        -3,716             -338
     1994-06            -4,045         3,362        -6,956             -451
     1994-05            19,480        11,237         8,027              216
     1994-04           -14,655        -1,661       -12,378             -616
     1994-03              -971        -4,757         3,826              -40
     1994-02            12,878         3,547         9,226              105
     1994-01             2,038         4,389        -2,601              250
     1993-12               531         3,687        -2,927             -229
     1993-11            15,223         6,223         8,361              639
     1993-10             4,051         1,619         3,562           -1,130
     1993-09           -10,860         3,165       -13,883             -142
     1993-08            13,980           724        13,644             -388
     1993-07            -1,871        -4,677         3,192             -386
     1993-06            -5,698          -760        -5,184              246
     1993-05            -1,159        -3,424         2,547             -282
     1993-04             4,366         2,709         1,818             -161
     1993-03             6,578          -616         6,645              549
     1993-02            -2,029        -4,364         1,451              884
     1993-01               440        -2,980         2,836              584
     1992-12                14          -715           527              202
     1992-11            17,631          -620        18,264              -13
     1992-10             3,544         2,949         1,400             -805
     1992-09            -6,013        -4,474        -1,748              209
     1992-08             6,453           691         6,089             -327
     1992-07            -1,861          -766        -1,519              424
     1992-06            14,456         5,420         6,346            2,690
     1992-05            -7,926        -2,685        -4,262             -979
     1992-04             6,559         1,711         5,869           -1,021
     1992-03            -9,466        -3,136        -6,929              599
     1992-02             4,632          -192         5,207             -383
     1992-01            11,265         8,693         1,815              757
     1991-12             4,675         2,521         1,445              709
     1991-11             5,466         7,190        -1,818               94
     1991-10               614           512          -483              585
     1991-09            -4,061           830        -3,833           -1,058
     1991-08             1,231          -458         1,055              634
     1991-07             1,146          -716         1,544              318
     1991-06            -5,719        -5,832           581             -469
     1991-05            15,224         2,020        13,186               18
     1991-04             1,681          -373         1,699              355
     1991-03           -15,486       -12,738        -1,915             -834
     1991-02            11,542         5,869         4,154            1,519
     1991-01             3,552         2,364         2,881           -1,693
     1990-12             5,624         7,106        -1,478               -4
     1990-11             5,960         5,087           462              411
     1990-10            -1,278         1,194        -2,442              -31
     1990-09             1,976         3,856        -1,679             -200
     1990-08             4,396         6,594        -2,959              761
     1990-07             5,141           660         4,291              191
     1990-06             3,499         1,028         2,001              469
     1990-05            -3,038        -2,220        -1,179              360
     1990-04             3,252         5,018          -781             -986
     1990-03            -9,297        -3,771        -5,330             -196
     1990-02               861        -1,659         2,861             -341
     1990-01               822           366           728             -272
     1989-12               718         1,112        -1,911            1,516
     1989-11             8,154         1,686         6,664             -196
     1989-10            -2,507          -979        -2,782            1,254
     1989-09             4,617           778         4,921           -1,082
     1989-08            22,028         9,918        12,540             -431
     1989-07            -1,312         2,907        -3,663             -557
     1989-06            -5,304           461        -5,884              119
     1989-05             7,335        -1,069         6,879            1,525
     1989-04               -13          -842         1,084             -255
     1989-03             8,645         6,549         1,745              350
     1989-02             8,996         4,299         5,822           -1,124
     1989-01             2,846         2,019            44              782
     1988-12               312         2,243           105           -2,035
     1988-11             8,648         2,196         6,107              345
     1988-10             2,193           577          -821            2,437
     1988-09            -1,934        -1,481          -776              322
     1988-08              -379        -1,450         1,321             -249
     1988-07               915        -2,362         4,524           -1,247
     1988-06            -2,161        -1,658        -1,678            1,175
     1988-05            11,062         5,062         4,910            1,091
     1988-04             3,435         3,075           655             -295
     1988-03             9,980         8,135           883              963
     1988-02            12,115         7,169         5,694             -748
     1988-01             4,644         5,118           622           -1,095
     1987-12             2,507         1,670         2,452           -1,615
     1987-11             6,380         1,854         5,823           -1,296
     1987-10            -1,232         2,466        -7,964            4,265
     1987-09               523         1,341          -637             -181
     1987-08             1,110         2,612           176           -1,677
     1987-07               807         2,251         1,359           -2,802
     1987-06            12,281         3,719         4,927            3,635
     1987-05              -284         4,447          -717           -4,013
     1987-04            -3,196         2,489        -3,894           -1,790
     1987-03             6,992         5,906        -1,804            2,891
     1987-02               149           834         1,018           -1,703
     1987-01              -451         1,477          -912           -1,016
     1986-12               948           309          -841            1,479
     1986-11            -2,422           173          -636           -1,959
     1986-10             2,104         3,378        -1,589              315
     1986-09             4,070         1,878         1,150            1,043
     1986-08                57            40         1,480           -1,463
     1986-07            -1,076         1,448           460           -2,984
     1986-06             2,889         1,612           396              882
     1986-05            -2,817           157        -1,093           -1,880
     1986-04             9,618         3,862         5,496              260
     1986-03            10,114           376         2,527            7,211
     1986-02              -610           619         2,302           -3,532
     1986-01            -3,487           362        -3,374             -475
     1985-12             6,802         2,712           697            3,394
     1985-11             1,168          -236         1,180              224
     1985-10              -385        -1,232         1,377             -530
     1985-09             6,546         1,082         2,919            2,545
     1985-08            -3,362          -243         1,253           -4,372
     1985-07             4,820         1,792         3,637             -610
     1985-06             5,714         2,691         3,039              -15
     1985-05             3,245         3,580           960           -1,296
     1985-04             4,312          -625         2,863            2,075
     1985-03            -4,390        -5,270           526              355
     1985-02             2,330         1,345           829              155
     1985-01             2,407         2,539         1,353           -1,485
     1984-12             7,507         1,921         3,145            2,442
     1984-11             2,229          -601         2,926              -96
     1984-10             2,939          -862         1,937            1,864
     1984-09            -3,802        -1,968           229           -2,063
     1984-08             6,658         1,368         4,271            1,020
     1984-07             1,752           179         1,146              427
     1984-06              -325          -896         1,657           -1,086
     1984-05             1,435          -316           726            1,025
     1984-04             2,304           644           337            1,323
     1984-03              -527           487          -463             -550
     1984-02               556             4          -161              713
     1984-01               773           545           243              -15
     1983-12              -631          -435           533             -728
     1983-11            -1,402          -760           186             -828
     1983-10             2,361           504         1,125              732
     1983-09             1,133           -45           -68            1,245
     1983-08            -1,372          -928            79             -524
     1983-07            -1,674          -895           186             -966
     1983-06             1,563           407           135            1,021
     1983-05             2,622            36           872            1,715
     1983-04            -1,143           341           682           -2,167
     1983-03             2,606           966           -16            1,655
     1983-02               595         1,552          -311             -646
     1983-01               768            34           712               22
     1982-12             1,166         1,866           -63             -637
     1982-11               808           231            50              527
     1982-10             1,703           641           152              910
     1982-09             2,341         1,500           798               43
     1982-08               865           416         1,011             -563
     1982-07             1,982         2,797           107             -922
     1982-06               362           318          -264              308
     1982-05             1,022         1,476             3             -457
     1982-04             1,454           791           862             -200
     1982-03             2,013         1,325           653               35
     1982-02             2,318         2,348            81             -111
     1982-01             1,286           841           479              -34
     1981-12               764          -787           355            1,196
     1981-11             1,934         2,033          -165               66
     1981-10             1,475         1,627            65             -218
     1981-09             1,256         1,381            94             -219
     1981-08             1,799         1,529           392             -121
     1981-07             1,149           798           315               36
     1981-06             1,266           980           141              145
     1981-05               714           321           366               27
     1981-04               368           495            21             -148
     1981-03             1,525         1,084           147              294
     1981-02             1,768         1,404           273               91
     1981-01             1,035           865           223              -54
     1980-12               198          -335           295              238
     1980-11               664           301           490             -127
     1980-10               680           663           239             -222
     1980-09             1,752         1,023           158              571
     1980-08              -767          -745           147             -168
     1980-07               692           762            33             -104
     1980-06             1,759         1,718           104              -63
     1980-05              -677           425            93           -1,195
     1980-04              -909           -63           -44             -802
     1980-03              -231          -103            57             -185
     1980-02               343          -264            13              594
     1980-01             1,394           483           288              623
     1979-12               543           547            69              -73
     1979-11            -1,096        -1,037           122             -180
     1979-10               632            56            89              486
     1979-09               655            92           -36              600
     1979-08               594           511           -66              149
     1979-07             1,550         1,042           101              407
     1979-06               320           297           143             -121
     1979-05              -924          -149            27             -802
     1979-04               632           242            34              356
     1979-03               510           524            92             -106
     1979-02              -623          -597           140             -165
     1979-01                69           168           153             -252
     1978-12              -506          -349            91             -248
     1978-11               225            64           -66              228
     1978-10             1,410           572            74              764
     1978-09               639           704             2              -67
     1978-08               425           710           103             -388
     1978-07               490         1,313            29             -852
     1978-06             1,271           522            76              672
     1978-05              -295          -541            73              172
     1978-04            -1,579        -1,699            26               94
     1978-03               871           995            22             -145
     1978-02               278          -277           107              447
     1978-01             1,481         1,714            60             -293



