


         NET PURCHASES OF U.S. CORPORATE BONDS BY MAJOR FOREIGN SECTOR:
              FOREIGN OFFICIAL INSTITUTIONS, OTHER FOREIGNERS, AND
                     INTERNATIONAL & REGIONAL ORGANIZATIONS
                                        
                            (IN MILLIONS OF DOLLARS)


      (NEGATIVE FIGURES INDICATE NET SALES BY FOREIGNERS TO U.S. RESIDENTS
              OR A NET OUTFLOW OF CAPITAL FROM THE UNITED STATES)

                    TOTAL                                    INTERNATIONAL
                     NET          FOREIGN                         AND
                   FOREIGN        OFFICIAL       OTHER         REGIONAL
     2010-08             7,512          -165         7,716              -39
     2010-07             5,352          -135         5,528              -41
     2010-06           -17,491           -31       -16,725             -735
     2010-05           -13,565          -404       -13,078              -83
     2010-04             7,743          -364         8,131              -24
     2010-03            15,246         1,557        13,537              152
     2010-02           -12,497          -275       -12,228                6
     2010-01           -24,677           261       -24,374             -564
     2009-12            -7,932          -704        -7,215              -13
     2009-11            -4,604          -290        -4,259              -55
     2009-10              -844           506        -1,548              198
     2009-09            -2,515           -24        -2,539               48
     2009-08            -5,668          -126        -5,496              -46
     2009-07           -10,823        -1,221        -9,644               42
     2009-06            -2,861          -434        -2,597              170
     2009-05               819          -937         2,428             -672
     2009-04            -9,365         1,436       -10,828               27
     2009-03             7,370          -861         8,143               88
     2009-02             2,994            -5         3,948             -949
     2009-01            -7,345           335        -7,730               50
     2008-12            41,682         3,533        37,414              735
     2008-11           -16,215          -873       -15,362               20
     2008-10           -13,383           439       -13,814               -8
     2008-09            -8,439        -1,150        -7,218              -71
     2008-08           -13,130          -510       -12,567              -53
     2008-07            -4,138           172        -4,300              -10
     2008-06             4,685         4,102           635              -52
     2008-05            59,842         9,088        50,677               77
     2008-04            25,003         7,513        17,374              116
     2008-03            -4,691         4,088        -8,779                0
     2008-02            19,267         4,360        14,934              -27
     2008-01             3,394         3,946          -439             -113
     2007-12            37,299         8,218        29,073                8
     2007-11            16,080         4,898        11,213              -31
     2007-10            32,910         7,437        25,440               33
     2007-09            15,918         4,631        11,367              -80
     2007-08              -955         2,985        -4,349              409
     2007-07             4,724         1,030         3,304              390
     2007-06            29,980         3,702        26,141              137
     2007-05            78,366         3,972        74,075              319
     2007-04            33,628         2,911        30,790              -73
     2007-03            46,159         2,873        43,298              -12
     2007-02            49,692         5,553        44,079               60
     2007-01            49,554         2,356        47,111               87
     2006-12            36,366         2,864        33,903             -401
     2006-11            63,796         3,220        60,372              204
     2006-10            39,900         2,006        37,884               10
     2006-09            62,989         1,830        61,185              -26
     2006-08            45,025         2,761        41,826              438
     2006-07            20,207         1,119        19,163              -75
     2006-06            41,708         1,751        39,969              -12
     2006-05            42,306         2,493        39,759               54
     2006-04            41,317         1,889        39,381               47
     2006-03            49,269         2,605        46,394              270
     2006-02            37,689         3,602        33,912              175
     2006-01            30,234         2,416        27,479              339
     2005-12            35,841         2,535        32,613              693
     2005-11            38,297         1,818        36,354              125
     2005-10            36,305         1,604        34,657               44
     2005-09            44,009         2,190        41,073              746
     2005-08            36,763         2,026        34,412              325
     2005-07            23,391         1,392        22,018              -19
     2005-06            50,495         2,609        47,543              343
     2005-05            19,410         1,842        17,486               82
     2005-04            17,826            64        17,603              159
     2005-03            20,818          -422        21,009              231
     2005-02            31,036         2,106        28,819              111
     2005-01            18,031         1,377        16,642               12
     2004-12            40,948         1,635        38,850              463
     2004-11            26,189         1,891        24,261               37
     2004-10            19,740           887        19,087             -234
     2004-09            45,058         1,234        43,680              144
     2004-08            24,763         1,107        23,574               82
     2004-07            28,505           819        27,530              156
     2004-06            27,389           801        26,098              490
     2004-05            20,511           548        19,852              111
     2004-04            18,994           606        18,360               28
     2004-03            26,509         1,274        24,857              378
     2004-02            19,761           193        19,640              -72
     2004-01            11,133           469        10,647               17
     2003-12            20,017           699        18,961              357
     2003-11            28,565           968        27,481              116
     2003-10            20,691           723        19,891               77
     2003-09            20,204           437        19,748               19
     2003-08            16,564           486        15,499              579
     2003-07            26,072           479        25,646              -53
     2003-06            21,066           311        20,750                5
     2003-05            27,378           187        27,203              -12
     2003-04            22,051           -41        22,115              -23
     2003-03            26,907           463        26,240              204
     2003-02            12,788           223        12,542               23
     2003-01            23,440           498        22,892               50
     2002-12            13,178            67        13,054               57
     2002-11            22,195           560        21,632                3
     2002-10             9,775           570         8,914              291
     2002-09             3,874           209         3,662                3
     2002-08            14,492           662        13,739               91
     2002-07             3,918           138         3,805              -25
     2002-06            20,961           246        20,713                2
     2002-05            26,644           113        26,465               66
     2002-04            17,851         1,033        16,834              -16
     2002-03            26,532         1,323        25,258              -49
     2002-02             7,638           455         7,180                3
     2002-01            15,252           225        14,933               94
     2001-12            13,660           459        13,210               -9
     2001-11            16,783           357        16,429               -3
     2001-10            13,591           716        12,868                7
     2001-09            10,182           428         9,646              108
     2001-08            12,711           260        12,380               71
     2001-07            14,927           -58        14,961               24
     2001-06            15,026           178        14,747              101
     2001-05            33,432           322        33,097               13
     2001-04            21,730            67        21,633               30
     2001-03            26,703           292        26,198              213
     2001-02            29,501           167        29,296               38
     2001-01            13,709           574        13,151              -16
     2000-12            19,052           274        18,772                6
     2000-11            19,019            97        18,908               14
     2000-10            13,388           312        13,055               21
     2000-09            13,762           140        13,628               -6
     2000-08            21,983           187        21,794                2
     2000-07            10,392            95        10,258               39
     2000-06            25,735           -38        25,818              -45
     2000-05             7,677           105         7,530               42
     2000-04             8,687           424         8,246               17
     2000-03            14,795            25        14,875             -105
     2000-02            15,125           201        14,933               -9
     2000-01            14,513           197        14,318               -2
     1999-12            10,355           489         9,886              -20
     1999-11            15,146           286        14,804               56
     1999-10            16,136           166        15,968                2
     1999-09            17,297           641        16,518              138
     1999-08            12,826           463        12,360                3
     1999-07            20,942           486        20,222              234
     1999-06            11,035          -597        11,663              -31
     1999-05            10,851          -450        11,282               19
     1999-04            11,265           369        10,889                7
     1999-03            13,043           -48        13,044               47
     1999-02            15,287            74        15,220               -7
     1999-01             6,209          -336         6,535               10
     1998-12            10,281            56        10,177               48
     1998-11            11,698            32        11,659                7
     1998-10             8,863          -177         9,007               33
     1998-09             8,093          -164         8,251                6
     1998-08             4,498          -575         5,073                0
     1998-07            10,654           131        10,435               88
     1998-06            14,582            -4        14,538               48
     1998-05             9,124           617         8,486               21
     1998-04            17,196           189        16,929               78
     1998-03             9,720           253         9,439               28
     1998-02             8,752          -254         8,978               28
     1998-01             8,469            98         8,362                9
     1997-12             6,213           -89         6,270               32
     1997-11             3,987           146         3,911              -70
     1997-10             5,872           175         5,173              524
     1997-09             7,404           364         7,039                1
     1997-08             6,433           189         6,242                2
     1997-07            10,659           227        10,456              -24
     1997-06            10,011           182         9,811               18
     1997-05             6,764            46         6,716                2
     1997-04             5,840           -70         5,909                1
     1997-03             5,227           209         5,006               12
     1997-02             9,358           137         9,216                5
     1997-01             6,590             3         6,591               -4
     1996-12             7,615           -29         7,644                0
     1996-11             6,648           -50         6,702               -4
     1996-10             7,406          -126         7,530                2
     1996-09             9,614           359         9,247                8
     1996-08             8,290           476         7,820               -6
     1996-07             6,122            70         6,054               -2
     1996-06             5,590           325         5,269               -4
     1996-05             8,114           231         7,884               -1
     1996-04             5,307           275         5,037               -5
     1996-03             8,413            73         8,279               61
     1996-02             5,854           -53         5,922              -15
     1996-01             4,770           -29         4,781               18
     1995-12             2,646           108         2,538                0
     1995-11             6,911           145         6,797              -31
     1995-10             5,924           363         5,589              -28
     1995-09             5,343            71         5,265                7
     1995-08             3,605          -103         3,743              -35
     1995-07             6,245           -85         6,403              -73
     1995-06             6,497           -55         6,555               -3
     1995-05             4,515          -136         4,657               -6
     1995-04             1,966          -267         2,236               -3
     1995-03             4,933           -92         4,995               30
     1995-02             4,512            68         4,438                6
     1995-01             4,756           202         4,554                0
     1994-12             1,940            17         1,926               -3
     1994-11             3,930             9         3,933              -12
     1994-10             2,469           231         2,237                1
     1994-09             3,056          -131         3,175               12
     1994-08             4,876           -17         4,897               -4
     1994-07             2,900            -8         2,908                0
     1994-06             7,793             0         7,728               65
     1994-05               528            50           469                9
     1994-04             2,511          -161         2,665                7
     1994-03             4,453          -206         4,619               40
     1994-02             2,371           -25         2,377               19
     1994-01             1,165           223           919               23
     1993-12             4,400           103         4,262               35
     1993-11             1,847          -186         2,006               27
     1993-10             5,188           -29         5,210                7
     1993-09             3,248           118         3,117               13
     1993-08             3,591           -72         3,665               -2
     1993-07               200           214           -50               36
     1993-06             3,418           206         3,171               41
     1993-05               371             3           378              -10
     1993-04             3,532            46         3,487               -1
     1993-03             2,466           202         2,361              -97
     1993-02             2,118             0         2,126               -8
     1993-01               193            22           173               -2
     1992-12             2,349           137         2,211                1
     1992-11              -657            26          -685                2
     1992-10               842            20           827               -5
     1992-09             2,079           -54         2,099               34
     1992-08             2,131           104         2,040              -13
     1992-07             1,961           191         1,782              -12
     1992-06             2,215            52         2,170               -7
     1992-05             2,378            79         2,295                4
     1992-04             2,402            10         2,397               -5
     1992-03             1,149           145           990               14
     1992-02             2,582            16         2,543               23
     1992-01             1,358            56         1,307               -5
     1991-12             1,198           -35         1,361             -128
     1991-11               836           163           675               -2
     1991-10             2,061            58         2,015              -12
     1991-09               530            41           508              -19
     1991-08             2,578            57         2,560              -39
     1991-07             1,540           112         1,430               -2
     1991-06             2,286             6         2,274                6
     1991-05             1,711           122         1,598               -9
     1991-04             1,631           -26         1,685              -27
     1991-03             3,130           -46         3,138               37
     1991-02               -17           -11            -4               -2
     1991-01              -568           -30          -538                0
     1990-12             1,387             5         1,387               -5
     1990-11             1,858           -30         1,882                6
     1990-10               257             0           469             -212
     1990-09            -1,056           -17        -1,062               23
     1990-08              -407           -18          -391                2
     1990-07             1,486           -54         1,573              -33
     1990-06             3,049             0         3,045                4
     1990-05               701            -2           699                5
     1990-04               689           -39           725                3
     1990-03                33           -27            60                1
     1990-02               638            13           622                3
     1990-01             1,037            25         1,025              -14
     1989-12             2,727           -14         2,734                7
     1989-11             2,598          -210         2,800                7
     1989-10               908           142           765                1
     1989-09               224           -42           266                0
     1989-08                33            56           -22               -0
     1989-07             1,839           -26         1,867               -2
     1989-06               988          -160         1,139                9
     1989-05               -41          -179           139               -0
     1989-04             2,645            89         2,532               24
     1989-03             2,394           224         2,140               31
     1989-02             2,897            13         2,938              -54
     1989-01                83           -89           173               -0
     1988-12             2,753            47         2,703                3
     1988-11             2,346            50         2,265               31
     1988-10             2,036           -68         2,121              -17
     1988-09               795             4           792               -1
     1988-08             1,545             5         1,500               39
     1988-07             3,049           -97         3,118               28
     1988-06             2,510           -85         2,601               -5
     1988-05             2,832            45         2,788                0
     1988-04             1,052            33         1,018                0
     1988-03             1,607           110         1,482               16
     1988-02               478           -22           498                2
     1988-01               219          -130           332               17
     1987-12               157            26           125                6
     1987-11               144            16           129               -0
     1987-10             1,259            30         1,218               11
     1987-09             2,918           -36         2,959               -5
     1987-08             1,337           -18         1,342               12
     1987-07             2,314          -197         2,502                9
     1987-06             1,530          -184         1,686               29
     1987-05             1,629           -51         1,673                7
     1987-04             3,257             4         3,187               66
     1987-03             4,317            48         4,244               25
     1987-02             1,460           -88         1,525               23
     1987-01             1,900             5         1,934              -39
     1986-12             3,709          -227         3,948              -13
     1986-11             1,860          -207         2,035               32
     1986-10             3,736           -49         3,788               -3
     1986-09             4,203           -74         4,201               76
     1986-08             3,684           -19         3,702                2
     1986-07             2,534          -445         2,988              -10
     1986-06             2,124          -540         2,620               44
     1986-05             6,264           -61         6,325               -1
     1986-04             4,114           -83         4,201               -4
     1986-03             4,454            98         4,342               15
     1986-02             3,548           -13         3,559                1
     1986-01             3,250             8         3,244               -3
     1985-12             4,915          -143         5,091              -33
     1985-11             7,378           -35         7,395               18
     1985-10             3,764           -23         3,788               -1
     1985-09             3,458           -98         3,558               -1
     1985-08             1,805          -125         1,954              -24
     1985-07             3,329          -201         3,525                5
     1985-06             1,226          -395         1,622               -1
     1985-05             2,666          -255         2,918                3
     1985-04             1,228          -276         1,499                4
     1985-03             2,922           -38         2,966               -6
     1985-02             4,204            18         4,182                4
     1985-01             2,896           -21         2,919               -2
     1984-12             3,255             5         3,249                0
     1984-11             2,026          -156         2,183                0
     1984-10             3,930            33         3,908              -11
     1984-09             1,134            -1         1,125               10
     1984-08               604          -177           782               -1
     1984-07               249           -11           260                0
     1984-06                60          -238           297                1
     1984-05                54           -89           143                0
     1984-04               -75          -174            -1              100
     1984-03               456            22           435               -1
     1984-02              -149             5          -154                1
     1984-01               176            -0           171                5
     1983-12               122           -28           145                5
     1983-11               206            59           147                0
     1983-10                32          -218           250                0
     1983-09               134            10           104               20
     1983-08               139           -25           174              -11
     1983-07                24           -76            99                2
     1983-06              -135          -104           -31                0
     1983-05               188          -217           395               10
     1983-04               297           -21           323               -6
     1983-03                59           -26            80                5
     1983-02                44           -34            91              -13
     1983-01              -192          -134           -55               -3
     1982-12              -126            15          -126              -15
     1982-11                57           -73           126                5
     1982-10               -30          -141           120              -10
     1982-09               137           -78           219               -4
     1982-08                 3           -26            43              -14
     1982-07               142           -99           232                9
     1982-06               164           -72           227                9
     1982-05               733           -36           756               12
     1982-04               398           -91           483                6
     1982-03               132           -23           157               -2
     1982-02                47           -28            70                4
     1982-01               150           -34           184                0
     1981-12               164            29           120               15
     1981-11                -3           -46            41                2
     1981-10                52             3            43                7
     1981-09                19          -108           123                3
     1981-08               231            54           177                0
     1981-07               727           496           228                3
     1981-06               486           270           204               12
     1981-05               195            31           163                0
     1981-04               150            29           123               -3
     1981-03               777           581           196                0
     1981-02               393            27           367                0
     1981-01               276           248            26                3
     1980-12               132            44            85                3
     1980-11                83            11            74               -2
     1980-10               302           241            63               -1
     1980-09               194           151            41                2
     1980-08               324           291            37               -4
     1980-07               355           306            65              -16
     1980-06               669           603            45               22
     1980-05                66           -37           113              -10
     1980-04               472           224           233               14
     1980-03                -4           -62            48               11
     1980-02               185           129            51                5
     1980-01               100           126           -25               -1
     1979-12               253           274           -21                0
     1979-11               -83           -37           -47                1
     1979-10                35           -16            50                1
     1979-09                67            72            -2               -3
     1979-08               -44            -9           -26               -9
     1979-07               -14            22           -32               -4
     1979-06               122           105            26               -9
     1979-05               130            24           103                2
     1979-04                25           -11            43               -7
     1979-03                55             1            54                0
     1979-02               -25           -60            35                0
     1979-01                73             9            63                1
     1978-12               186            88            94                4
     1978-11              -125           -17          -108               -0
     1978-10               117            52            62                3
     1978-09                53           -28            83               -3
     1978-08               247            70           166               11
     1978-07                 1            30           -41               11
     1978-06               133            72            67               -5
     1978-05               321           358           -36               -1
     1978-04               -37           -19           -15               -2
     1978-03               -18            -6            -4               -7
     1978-02               131            95            42               -5
     1978-01                15             0            22               -7



